month,people
2011/1/1,22514
2011/1/6,22474
2011/1/11,22325
2011/1/16,22348
2011/1/21,22308
2011/1/26,22293
2011/1/31,22479
2011/2/5,22621
2011/2/10,22613
2011/2/15,22535
2011/2/20,23049
2011/2/25,23083
2011/3/2,23015
2011/3/7,23045
2011/3/12,22985
2011/3/17,22927
2011/3/22,23052
2011/3/27,23184
2011/4/1,23056
2011/4/6,22905
2011/4/11,22870
2011/4/16,23122
2011/4/21,23424
2011/4/26,23403
2011/5/1,23358
2011/5/6,23310
2011/5/11,23143
2011/5/16,23104
2011/5/21,23292
2011/5/26,23319
2011/5/31,23339
2011/6/5,23270
2011/6/10,23415
2011/6/15,23408
2011/6/20,23696
2011/6/25,23802
2011/6/30,23764
2011/7/5,23782
2011/7/10,23711
2011/7/15,23798
2011/7/20,24079
2011/7/25,24107
2011/7/30,24231
2011/8/4,24389
2011/8/9,24393
2011/8/14,24591
2011/8/19,24825
2011/8/24,24818
2011/8/29,24751
2011/9/3,24658
2011/9/8,24496
2011/9/13,24557
2011/9/18,24515
2011/9/23,24566
2011/9/28,24811
2011/10/3,24704
2011/10/8,24641
2011/10/13,24728
2011/10/18,24967
2011/10/23,25153
2011/10/28,25381
2011/11/2,25346
2011/11/7,25588
2011/11/12,25624
2011/11/17,25649
2011/11/22,25515
2011/11/27,25254
2011/12/2,25290
2011/12/7,25211
2011/12/12,25132
2011/12/17,25407
2011/12/22,25692
2011/12/27,25796
2012/1/1,25989
2012/1/6,26202
2012/1/11,26154
2012/1/16,26118
2012/1/21,26057
2012/1/26,26258
2012/1/31,26232
2012/2/5,26063
2012/2/10,26335
2012/2/15,26412
2012/2/20,26565
2012/2/25,26583
2012/3/1,26498
2012/3/6,26585
2012/3/11,26685
2012/3/16,26727
2012/3/21,26779
2012/3/26,27356
2012/3/31,27450
2012/4/5,27506
2012/4/10,28210
2012/4/15,28353
2012/4/20,28401
2012/4/25,27989
2012/4/30,28101
2012/5/5,28287
2012/5/10,28493
2012/5/15,28800
2012/5/20,29134
2012/5/25,29411
2012/5/30,29411
2012/6/4,29509
2012/6/9,29793
2012/6/14,29718
2012/6/19,29761
2012/6/24,29716
2012/6/29,29860
2012/7/4,30492
2012/7/9,30968
2012/7/14,30982
2012/7/19,31096
2012/7/24,31162
2012/7/29,31412
2012/8/3,31334
2012/8/8,31254
2012/8/13,31298
2012/8/18,31256
2012/8/23,31217
2012/8/28,31320
2012/9/2,31533
2012/9/7,31439
2012/9/12,31446
2012/9/17,31404
2012/9/22,31337
2012/9/27,31247
2012/10/2,31252
2012/10/7,31205
2012/10/12,31173
2012/10/17,31066
